Case_ID,Year_State_ID,Category,Type,Stream,Fate,Tonnes,Core_Non-core
34658,1001,Biosolids,Biosolids,C&I,Disposal,20185.54974,Core waste
34659,1001,Biosolids,Biosolids,C&I,Recycling,0,Core waste
34662,1001,Building and demolition materials,Asphalt,C&D,Recycling,0,Core waste
34663,1001,Building and demolition materials,Asphalt,C&I,Recycling,0,Core waste
34664,1001,Building and demolition materials,Asphalt,MSW,Recycling,0,Core waste
34666,1001,Building and demolition materials,"Bricks, concrete and pavers",C&D,Recycling,141663.3859,Core waste
34667,1001,Building and demolition materials,"Bricks, concrete and pavers",C&I,Recycling,3.827859813,Core waste
34668,1001,Building and demolition materials,"Bricks, concrete and pavers",MSW,Recycling,0,Core waste
34670,1001,Building and demolition materials,"Ceramics, tiles and pottery",C&D,Recycling,36190.96779,Core waste
34671,1001,Building and demolition materials,"Ceramics, tiles and pottery",C&I,Recycling,0.530737326,Core waste
34672,1001,Building and demolition materials,"Ceramics, tiles and pottery",MSW,Recycling,0,Core waste
34674,1001,Building and demolition materials,Plasterboard & cement sheeting,C&D,Recycling,32.32598047,Core waste
34675,1001,Building and demolition materials,Plasterboard & cement sheeting,C&I,Recycling,154.2202371,Core waste
34676,1001,Building and demolition materials,Plasterboard & cement sheeting,MSW,Recycling,0,Core waste
34678,1001,Building and demolition materials,Rubble,C&D,Recycling,34085.78155,Core waste
34679,1001,Building and demolition materials,Rubble,C&I,Recycling,3.842458009,Core waste
34680,1001,Building and demolition materials,Rubble,MSW,Recycling,0,Core waste
34682,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",C&D,Recycling,59504.37378,Core waste
34683,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",C&D,Waste reuse,133987.09,Core waste
34684,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",C&I,Recycling,647.612931,Core waste
34685,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",MSW,Recycling,0,Core waste
